EntryTime,ExitTime,EntryPrice,ExitPrice,PnL,ReturnPct,Size,Duration,Direction
2023-01-13 09:30:00,2023-01-13 12:30:00,1905.67,1895.045,-580.642293,-0.005974351802778057,51,0 days 03:00:00,LONG
2023-01-23 19:00:00,2023-01-24 08:00:00,1927.875,1942.0680000000002,684.3695814000107,0.006960519432017253,51,0 days 13:00:00,LONG
2023-01-24 16:30:00,2023-01-27 15:45:00,1935.8615,1917.215,-990.2728803000031,-0.010030219258970819,51,2 days 23:15:00,LONG
2023-01-30 08:45:00,2023-01-31 09:30:00,1922.695,1904.16,906.2510789999926,0.009242042549650307,-51,1 days 00:45:00,SHORT
2023-02-07 12:00:00,2023-02-07 15:45:00,1867.4715,1874.3885,-406.2647159999956,-0.004104679509165114,-53,0 days 03:45:00,SHORT
2023-02-14 16:45:00,2023-02-24 14:15:00,1847.55,1811.5525,1869.0810134999972,0.019087807907769705,-53,9 days 21:30:00,SHORT
2023-03-08 18:00:00,2023-03-09 13:30:00,1815.6665,1821.825,-378.7299065000002,-0.0037925457676285914,-55,0 days 19:30:00,SHORT
2023-03-23 14:30:00,2023-03-27 07:15:00,1984.365,1966.645,-925.5101000000013,-0.009328022818382686,50,3 days 16:45:00,LONG
2023-04-06 13:30:00,2023-04-10 02:45:00,2011.08,1991.435,923.3803529999991,0.009370336833940009,-49,3 days 13:15:00,SHORT
2023-04-17 15:15:00,2023-04-18 02:45:00,1990.74,2000.915,-548.6665499999978,-0.005512186925464876,-50,0 days 11:30:00,SHORT
2023-04-25 18:45:00,2023-04-26 16:15:00,1997.152,1988.6515,-455.585374300005,-0.004655459724647944,49,0 days 21:30:00,LONG
2023-05-02 11:45:00,2023-05-02 14:00:00,1987.91,1997.0149999999999,407.0927349999897,0.004179271194369939,49,0 days 02:15:00,LONG
2023-05-11 16:45:00,2023-05-12 09:30:00,2016.0345,2004.0019999999997,550.1961423000125,0.005569593526301395,-49,0 days 16:45:00,SHORT
2023-05-24 14:00:00,2023-05-25 12:30:00,1972.5995,1948.1834999999996,1181.5921700000197,0.011980051399181811,-50,0 days 22:30:00,SHORT
2023-05-25 20:00:00,2023-05-26 01:30:00,1940.21,1944.2185,-248.84005639999546,-0.002466426675462911,-52,0 days 05:30:00,SHORT
2023-06-06 11:15:00,2023-06-06 12:30:00,1963.6,1961.295,-157.58892899999165,-0.001573629557954731,51,0 days 01:15:00,LONG
2023-06-07 13:15:00,2023-06-07 13:45:00,1959.65,1963.0215,-211.95774929999843,-0.0021208043783329596,-51,0 days 00:30:00,SHORT
2023-06-14 12:00:00,2023-06-14 12:30:00,1947.075,1950.05,-191.47567499999536,-0.0019282385116136246,-51,0 days 00:30:00,SHORT
2023-06-15 12:30:00,2023-06-15 13:00:00,1925.93,1935.235,-524.0161159999915,-0.005232398373772508,-52,0 days 00:30:00,SHORT
2023-06-22 15:30:00,2023-06-23 12:45:00,1914.055,1927.4785,-737.9739483999936,-0.00741452398180813,-52,0 days 21:15:00,SHORT
2023-06-23 14:15:00,2023-06-23 16:30:00,1930.1,1918.94,-608.4202079999926,-0.006180927413087375,51,0 days 02:15:00,LONG
2023-06-27 13:15:00,2023-06-27 14:00:00,1927.27,1920.075,-406.1879189999968,-0.004132513347896175,51,0 days 00:45:00,LONG
2023-06-30 09:15:00,2023-06-30 12:15:00,1903.06,1907.6005,-270.4342371000033,-0.002786371475413314,-51,0 days 03:00:00,SHORT
2023-07-06 09:00:00,2023-07-06 10:15:00,1918.1435,1921.245,-197.33826269999935,-0.002017251420448893,-51,0 days 01:15:00,SHORT
2023-07-06 11:30:00,2023-07-06 12:15:00,1925.19,1917.1995,-437.94889500000556,-0.004549669331338785,50,0 days 00:45:00,LONG
2023-07-19 13:00:00,2023-07-19 14:30:00,1977.555,1971.7,-325.5976990000009,-0.0033601346106682346,49,0 days 01:30:00,LONG
2023-07-26 16:15:00,2023-07-27 12:30:00,1972.27,1964.33,-427.6386800000027,-0.0044250128025068005,49,0 days 20:15:00,LONG
2023-07-31 16:15:00,2023-07-31 19:15:00,1971.5315,1965.65,-320.1089423999981,-0.003382617168429693,48,0 days 03:00:00,LONG
2023-08-11 16:45:00,2023-08-14 13:45:00,1914.57,1904.0499999999997,487.8138000000105,0.005095805324433265,-50,2 days 21:00:00,SHORT
2023-08-21 15:15:00,2023-08-21 23:00:00,1888.4185,1896.0,-425.25756870000026,-0.004415538028249647,-51,0 days 07:45:00,SHORT
2023-09-01 10:00:00,2023-09-01 12:30:00,1944.305,1948.9599999999998,189.94100299998752,0.0019936928619736895,49,0 days 02:30:00,LONG
