timestamp,Open,High,Low,Close,Volume
2025-01-01 23:00:00,2625.8450000000003,2626.275,2624.4535,2624.8485,0.2079749964759685
2025-01-01 23:15:00,2624.8705,2625.1435,2623.6,2623.745,0.12985499816568336
2025-01-01 23:30:00,2623.7515,2624.025,2622.0,2622.0,0.15385499733383767
2025-01-01 23:45:00,2621.975,2624.5185,2621.785,2623.8450000000003,0.16277999725571135
2025-01-02 00:00:00,2623.9035,2626.3,2622.775,2625.805,0.3193499953049468
2025-01-02 00:15:00,2625.8005,2626.55,2625.2635,2626.4215,0.28195499558205483
2025-01-02 00:30:00,2626.42,2627.6,2625.5185,2626.9700000000003,0.25496999597817194
2025-01-02 00:45:00,2627.02,2628.03,2625.3685,2625.4185,0.44240999287285376
2025-01-02 01:00:00,2625.43,2630.9500000000003,2623.8735,2629.61,1.477009978494607
2025-01-02 01:15:00,2629.51,2633.0415000000003,2629.42,2632.5715,0.9651449847806362
2025-01-02 01:30:00,2632.6265,2634.475,2632.405,2633.5315,0.6968999880482443
2025-01-02 01:45:00,2633.5415000000003,2633.625,2631.66,2633.0,0.9202649850267335
2025-01-02 02:00:00,2633.005,2634.8250000000003,2632.6765,2634.63,0.6963299884955632
2025-01-02 02:15:00,2634.655,2636.5915,2633.925,2635.7615,0.5275199912503012
2025-01-02 02:30:00,2635.7515,2635.8905,2632.6745,2633.4715,0.8966499874513829
2025-01-02 02:45:00,2633.3195,2635.3965,2632.3615,2634.7865,0.5356499935005559
2025-01-02 03:00:00,2634.7395,2635.4315,2633.1815,2633.2200000000003,0.5977799913744093
2025-01-02 03:15:00,2633.2085,2634.8065,2633.08,2633.43,0.6381799896262237
2025-01-02 03:30:00,2633.4115,2634.2200000000003,2632.3085,2633.4900000000002,0.41519999346201075
2025-01-02 03:45:00,2633.4565000000002,2633.88,2632.79,2633.6915,0.27173999561637174
2025-01-02 04:00:00,2633.7015,2633.7065000000002,2632.1335,2632.32,0.3065149953981745
2025-01-02 04:15:00,2632.3045,2633.1965,2632.1445,2632.4900000000002,0.32557499700487824
2025-01-02 04:30:00,2632.4165000000003,2632.9315,2632.09,2632.2095,0.2981299954553833
2025-01-02 04:45:00,2632.19,2634.2115,2631.1215,2633.9745000000003,0.4675899952489999
2025-01-02 05:00:00,2633.9695,2634.3745,2633.108,2633.4045,0.3770549971522996
2025-01-02 05:15:00,2633.3945,2635.3065,2633.3265,2634.8515,0.30778499628650025
2025-01-02 05:30:00,2634.7645,2636.4445,2634.5195,2634.8695000000002,0.5494549946815823
2025-01-02 05:45:00,2634.9195,2635.3565,2633.9745000000003,2634.0545,0.6386749949015211
2025-01-02 06:00:00,2633.9365000000003,2634.0045,2631.5315,2631.7995,0.9770549835229758
2025-01-02 06:15:00,2631.7665,2634.5145,2631.2615,2634.3045,0.6155549898103345
2025-01-02 06:30:00,2634.2945,2634.7400000000002,2633.4515,2634.1695,0.7472899880522164
2025-01-02 06:45:00,2634.1795,2635.4745000000003,2633.6745,2634.1945,0.6837449888917035
2025-01-02 07:00:00,2634.1845,2635.1265,2633.5765,2634.4195,0.6761999891095911
2025-01-02 07:15:00,2634.3895,2636.015,2633.6195000000002,2634.3650000000002,0.6383099915037747
2025-01-02 07:30:00,2634.335,2634.3495000000003,2633.0615000000003,2633.675,0.611654991931573
2025-01-02 07:45:00,2633.68,2636.1065,2633.0065,2636.0565,0.4874149923780351
2025-01-02 08:00:00,2635.9995,2637.0765,2633.9900000000002,2635.1865000000003,0.8253699866909301
2025-01-02 08:15:00,2635.18,2635.205,2631.39,2633.3905,0.896869985605008
2025-01-02 08:30:00,2633.3855,2637.0215,2631.205,2636.2995,0.8651749882192235
2025-01-02 08:45:00,2636.3015,2637.8415,2635.4045,2636.5665,0.7156249891340849
2025-01-02 09:00:00,2636.585,2639.905,2636.585,2638.3015,1.034289981740585
2025-01-02 09:15:00,2638.2780000000002,2640.0555,2637.3095,2637.475,0.6077649897561059
2025-01-02 09:30:00,2637.5750000000003,2638.5605,2636.7885,2637.2565,0.6732899909111438
2025-01-02 09:45:00,2637.2665,2638.0315,2636.0985,2636.1835,0.5574549975499394
2025-01-02 10:00:00,2636.195,2639.0835,2632.78,2639.0105,0.9950649869279005
2025-01-02 10:15:00,2639.0005,2646.3665,2638.1935,2644.8415,1.2327449823096686
2025-01-02 10:30:00,2644.7965,2645.7715,2643.1915,2644.0165,1.2325049805294839
2025-01-02 10:45:00,2643.9995,2644.2045000000003,2640.5265,2642.7515,1.123524984366668
2025-01-02 11:00:00,2642.7665,2644.665,2642.4715,2644.255,0.5544799911149312
2025-01-02 11:15:00,2644.27,2644.46,2640.6,2641.8665,0.6564299898527679
2025-01-02 11:30:00,2641.9265,2642.92,2640.3545,2642.1495,0.6958599890276673
2025-01-02 11:45:00,2642.1545,2642.6465,2641.2145,2641.98,0.39073999309766805
2025-01-02 12:00:00,2642.003,2642.8565,2640.3865,2641.0865,0.6387099899366149
2025-01-02 12:15:00,2641.0,2643.335,2640.6045,2642.84,0.5812449915611069
2025-01-02 12:30:00,2642.855,2645.3250000000003,2642.26,2644.285,0.8774184854182749
2025-01-02 12:45:00,2644.275,2646.5335,2642.9,2643.42,0.8616149847148336
2025-01-02 13:00:00,2643.4,2643.4,2638.385,2638.585,1.716854967373365
2025-01-02 13:15:00,2638.715,2641.1165,2636.09,2641.005,1.2809049753414001
2025-01-02 13:30:00,2640.7335000000003,2641.11,2637.1385,2639.2185,1.2116249768296257
2025-01-02 13:45:00,2639.225,2647.3450000000003,2638.2200000000003,2642.9745000000003,1.527119970327476
2025-01-02 14:00:00,2642.9695,2646.9785,2640.3935,2646.93,1.302874974815495
2025-01-02 14:15:00,2646.925,2649.1085000000003,2646.2085,2646.3885,1.4825599737596349
2025-01-02 14:30:00,2646.41,2650.2200000000003,2646.41,2649.2385,1.5318299762293464
2025-01-02 14:45:00,2649.2335000000003,2651.145,2646.945,2647.6935,1.2620699815015541
