EntryTime,ExitTime,EntryPrice,ExitPrice,PnL,ReturnPct,Size,Duration,Direction
2023-03-23 14:30:00,2023-03-27 07:15:00,1984.365,1966.645,-906.9998980000014,-0.009328022818382686,49.0,3 days 16:45:00,LONG
2023-04-25 18:45:00,2023-04-26 16:15:00,1997.152,1988.6515,-455.585374300005,-0.004655459724647944,49.0,0 days 21:30:00,LONG
2023-05-02 11:45:00,2023-05-02 14:15:00,1987.91,1999.3165,254.61731279999577,0.005336788234879774,24.0,0 days 02:30:00,LONG
2023-05-02 11:45:00,2023-05-03 08:15:00,1987.91,2015.3615,666.2711424999974,0.013406464930504878,25.0,0 days 20:30:00,LONG
2023-07-19 13:00:00,2023-07-19 14:30:00,1977.555,1971.7,-325.5976990000009,-0.0033601346106682346,49.0,0 days 01:30:00,LONG
2023-07-26 16:15:00,2023-07-27 12:30:00,1972.27,1964.33,-427.6386800000027,-0.0044250128025068005,49.0,0 days 20:15:00,LONG
2023-07-31 16:15:00,2023-07-31 19:15:00,1971.5315,1965.65,-326.77787869999804,-0.003382617168429693,49.0,0 days 03:00:00,LONG
2023-09-01 10:00:00,2023-09-01 13:00:00,1944.305,1949.96,121.90367499999931,0.0025079125960175207,25.0,0 days 03:00:00,LONG
2023-09-01 10:00:00,2023-09-01 13:45:00,1944.305,1945.9,20.42397500000068,0.0004201804757998647,25.0,0 days 03:45:00,LONG
2023-09-18 17:45:00,2023-09-20 07:15:00,1932.85,1928.28,-267.11129999999685,-0.0027639113226582378,50.0,1 days 13:30:00,LONG
2023-10-18 17:15:00,2023-10-19 18:15:00,1953.6415,1974.58,483.66853679999946,0.010315534196012872,24.0,1 days 01:00:00,LONG
2023-10-18 17:15:00,2023-10-20 11:45:00,1953.6415,1981.46,675.7869925000022,0.01383645858260071,25.0,1 days 18:30:00,LONG
2023-11-29 18:00:00,2023-11-30 08:45:00,2045.1035,2040.2635,-271.5395231999961,-0.0027661550625676574,48.0,0 days 14:45:00,LONG
2023-12-07 13:45:00,2023-12-07 14:15:00,2037.2,2030.7935,-346.56473760000245,-0.003544128558806232,48.0,0 days 00:30:00,LONG
2024-03-08 18:00:00,2024-03-08 19:00:00,2184.975,2173.01,-564.8102679999864,-0.005874939987871596,44.0,0 days 01:00:00,LONG
2024-03-13 16:15:00,2024-03-14 12:30:00,2170.915,2164.605,-315.7925759999976,-0.003306027182086787,44.0,0 days 20:15:00,LONG
2024-04-04 19:15:00,2024-04-04 19:30:00,2298.805,2289.375,-434.6007119999931,-0.004501310898488505,42.0,0 days 00:15:00,LONG
2024-04-11 17:00:00,2024-04-11 20:30:00,2349.905,2375.145,485.89979999999565,0.010338711564935614,20.0,0 days 03:30:00,LONG
2024-04-11 17:00:00,2024-04-12 11:30:00,2349.905,2393.64,898.5121109999931,0.018207668395105264,21.0,0 days 18:30:00,LONG
2024-04-19 15:30:00,2024-04-22 01:30:00,2393.165,2378.725,-615.7751200000022,-0.006432643800155896,40.0,2 days 10:00:00,LONG
2024-05-14 19:00:00,2024-05-15 08:45:00,2357.705,2372.445,275.87940000000475,0.005850591995181883,20.0,0 days 13:45:00,LONG
2024-05-14 19:00:00,2024-05-15 09:45:00,2357.705,2368.7735,212.58729029999702,0.004293668758389925,21.0,0 days 14:45:00,LONG
2024-05-21 13:00:00,2024-05-22 02:45:00,2426.3250000000003,2417.395,-395.9497600000117,-0.004079727159387228,40.0,0 days 13:45:00,LONG
2024-05-28 15:45:00,2024-05-29 08:15:00,2360.3165,2348.015,-542.9698183000013,-0.005610758684269707,41.0,0 days 16:30:00,LONG
2024-06-05 13:45:00,2024-06-06 08:15:00,2341.69,2362.5295,397.9731220000009,0.008497562059879817,20.0,0 days 18:30:00,LONG
2024-06-05 13:45:00,2024-06-06 09:45:00,2341.69,2359.5750000000003,355.8396870000046,0.007236118786005033,21.0,0 days 20:00:00,LONG
2024-06-12 22:00:00,2024-06-13 01:00:00,2325.2485,2315.9585,-418.9478973999985,-0.004394472848815956,41.0,0 days 03:00:00,LONG
2024-06-19 16:45:00,2024-06-20 13:45:00,2330.555,2345.2200000000003,274.59690000000836,0.005891234062272856,20.0,0 days 21:00:00,LONG
2024-06-19 16:45:00,2024-06-20 15:30:00,2330.555,2351.855,427.63387800000385,0.008737626016120693,21.0,0 days 22:45:00,LONG
2024-07-01 12:30:00,2024-07-01 12:45:00,2334.6015,2328.5865,-284.85314160001343,-0.002975941547197842,41.0,0 days 00:15:00,LONG
2024-07-03 13:15:00,2024-07-05 12:45:00,2352.77,2373.0185,386.066846000003,0.00820451735613779,20.0,1 days 23:30:00,LONG
2024-07-03 13:15:00,2024-07-08 08:15:00,2352.77,2378.42,518.7790020000019,0.010499862715012567,21.0,4 days 19:00:00,LONG
2024-07-16 18:45:00,2024-07-17 14:00:00,2465.54,2483.0235,329.8757459999964,0.006689726104626195,20.0,0 days 19:15:00,LONG
2024-07-16 18:45:00,2024-07-17 14:15:00,2465.54,2467.5865,20.137619299998548,0.0004298752808715093,19.0,0 days 19:30:00,LONG
2024-08-16 17:00:00,2024-08-19 13:30:00,2495.9815,2485.7415,-438.21743939999146,-0.004501773991513864,39.0,2 days 20:30:00,LONG
2024-08-19 15:15:00,2024-08-22 13:30:00,2503.8685,2488.2555,-647.8455671999933,-0.006634303997993411,39.0,2 days 22:15:00,LONG
2024-09-09 12:30:00,2024-09-09 14:45:00,2502.3805,2493.5035000000003,-385.17089519999814,-0.003946712660204956,39.0,0 days 02:15:00,LONG
2024-09-10 11:15:00,2024-09-11 08:15:00,2506.485,2523.26,299.61196900000175,0.006291300765813408,19.0,0 days 21:00:00,LONG
